DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,CD_CARGO,DS_CARGO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCOES,QT_VOTOS_NOMINAIS,QT_VOTOS_BRANCOS,QT_VOTOS_NULOS,QT_VOTOS_LEGENDA,QT_VOTOS_ANULADOS_APU_SEP,NR_LOCAL_VOTACAO,NM_LOCAL_VOTACAO,DS_LOCAL_VOTACAO_ENDERECO
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,125,11,Prefeito,298,203,95,183,7,13,0,0,2062,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,142,13,Vereador,387,297,90,271,10,9,7,0,2127,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,142,11,Prefeito,387,297,90,265,19,13,0,0,2127,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,203,13,Vereador,393,288,105,248,12,13,15,0,2127,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,203,11,Prefeito,393,288,105,262,11,15,0,0,2127,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,215,11,Prefeito,421,338,83,303,14,21,0,0,2127,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,215,13,Vereador,421,338,83,301,11,15,11,0,2127,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,184,13,Vereador,389,282,107,240,9,12,21,0,2127,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,184,11,Prefeito,389,282,107,249,12,21,0,0,2127,#NE,#NE
21/12/2020,18:19:08,2020,2,Eleição Ordinária,1,426,Eleições Municipais 2020,15/11/2020,M,SP,72095,UBATUBA,72095,UBATUBA,144,138,13,Vereador,393,291,102,244,9,15,23,0,2127,#NE,#NE
